source_file,local_record_id,parent_record_id,review_decision,source_status,target_table,target_record_id,mapping_action,mapping_status,source_document,source_page,source_section,notes
requirements/_review_current_requirements.csv,REQ-001,,excluded,present,none,,exclude,verified,충청북도 지역특화형 비자 사업 숙련기능인력(E74R) 공고(2026년 8차)_section0,1,,실제 파일 이름은 모집공고 8차;이 부분은 본 사업의 목적 정도로 분류하는게 좋을듯
requirements/_review_current_requirements.csv,REQ-002,,excluded,present,none,,exclude,verified,충청북도 지역특화형 비자 사업 숙련기능인력(E74R) 공고(2026년 8차)_section0,1,공고 개요,source_section 그 자체에 해당하는 내용
requirements/_review_current_requirements.csv,REQ-003,,reclassified,present,visa_requirements,,insert,pending_target_id,충청북도 지역특화형 비자 사업 숙련기능인력(E74R) 공고(2026년 8차)_section0,1,공고 개요,"대상 공통 테이블은 확정했으며, UUID 발급 후 target_record_id를 채움."
requirements/_review_current_requirements.csv,REQ-004,,reclassified,present,visa_quota_status,,insert,pending_target_id,충청북도 지역특화형 비자 사업 숙련기능인력(E74R) 공고(2026년 8차)_section0,1,공고 개요,"대상 공통 테이블은 확정했으며, UUID 발급 후 target_record_id를 채움."
requirements/_review_current_requirements.csv,REQ-005,,reclassified,present,visa_quota_status,,insert,pending_target_id,충청북도 지역특화형 비자 사업 숙련기능인력(E74R) 공고(2026년 8차)_section0,1,공고 개요,"대상 공통 테이블은 확정했으며, UUID 발급 후 target_record_id를 채움."
requirements/_review_current_requirements.csv,REQ-006,,reclassified,present,visa_requirements,,insert,pending_target_id,충청북도 지역특화형 비자 사업 숙련기능인력(E74R) 공고(2026년 8차)_section0,1,공고 개요,"대상 공통 테이블은 확정했으며, UUID 발급 후 target_record_id를 채움."
requirements/_review_current_requirements.csv,REQ-007,,reclassified,present,visa_requirements,,insert,pending_target_id,충청북도 지역특화형 비자 사업 숙련기능인력(E74R) 공고(2026년 8차)_section0,1,공고 개요,"대상 공통 테이블은 확정했으며, UUID 발급 후 target_record_id를 채움."
requirements/_review_current_requirements.csv,REQ-008,,reclassified,present,visa_process_stages,,insert,pending_target_id,충청북도 지역특화형 비자 사업 숙련기능인력(E74R) 공고(2026년 8차)_section0,1,공고 개요,"대상 공통 테이블은 확정했으며, UUID 발급 후 target_record_id를 채움."
requirements/_review_current_requirements.csv,REQ-009,,reclassified,present,visa_process_stages,,insert,pending_target_id,충청북도 지역특화형 비자 사업 숙련기능인력(E74R) 공고(2026년 8차)_section0,1,공고 개요,"대상 공통 테이블은 확정했으며, UUID 발급 후 target_record_id를 채움."
requirements/_review_current_requirements.csv,REQ-010,,reclassified,present,visa_process_stages,,insert,pending_target_id,충청북도 지역특화형 비자 사업 숙련기능인력(E74R) 공고(2026년 8차)_section0,1,공고 개요,"대상 공통 테이블은 확정했으며, UUID 발급 후 target_record_id를 채움."
requirements/_review_current_requirements.csv,REQ-011,,reclassified,present,visa_process_stages,,insert,pending_target_id,충청북도 지역특화형 비자 사업 숙련기능인력(E74R) 공고(2026년 8차)_section0,1,공고 개요,"대상 공통 테이블은 확정했으며, UUID 발급 후 target_record_id를 채움."
requirements/_review_current_requirements.csv,REQ-012,,reclassified,present,visa_process_stages,,insert,pending_target_id,충청북도 지역특화형 비자 사업 숙련기능인력(E74R) 공고(2026년 8차)_section0,1,공고 개요,"대상 공통 테이블은 확정했으며, UUID 발급 후 target_record_id를 채움."
requirements/_review_current_requirements.csv,REQ-013,,reclassified,present,visa_process_stages,,insert,pending_target_id,충청북도 지역특화형 비자 사업 숙련기능인력(E74R) 공고(2026년 8차)_section0,1,공고 개요,"대상 공통 테이블은 확정했으며, UUID 발급 후 target_record_id를 채움."
requirements/_review_current_requirements.csv,REQ-014,,reclassified,present,visa_process_stages,,insert,pending_target_id,충청북도 지역특화형 비자 사업 숙련기능인력(E74R) 공고(2026년 8차)_section0,1,공고 개요,"대상 공통 테이블은 확정했으며, UUID 발급 후 target_record_id를 채움."
requirements/_review_current_requirements.csv,REQ-015,,reclassified,present,visa_process_stages,,insert,pending_target_id,충청북도 지역특화형 비자 사업 숙련기능인력(E74R) 공고(2026년 8차)_section0,1,공고 개요,"대상 공통 테이블은 확정했으며, UUID 발급 후 target_record_id를 채움."
requirements/_review_current_requirements.csv,REQ-016,,reclassified,present,visa_process_stages,,insert,pending_target_id,충청북도 지역특화형 비자 사업 숙련기능인력(E74R) 공고(2026년 8차)_section0,1,공고 개요,"대상 공통 테이블은 확정했으며, UUID 발급 후 target_record_id를 채움."
requirements/_review_current_requirements.csv,REQ-017,,reclassified,present,visa_process_stages,,insert,pending_target_id,충청북도 지역특화형 비자 사업 숙련기능인력(E74R) 공고(2026년 8차)_section0,1,공고 개요,"대상 공통 테이블은 확정했으며, UUID 발급 후 target_record_id를 채움."
requirements/_review_current_requirements.csv,REQ-018,,excluded,present,none,,exclude,verified,충청북도 지역특화형 비자 사업 숙련기능인력(E74R) 공고(2026년 8차)_section0,2,추진 체계,"""2 |  | 추진 체계""는 source_section 그 자체에 해당하는 내용;표 형태지만 순서가 있지 않음; 복합 행을 REQ-018-01, REQ-018-02, REQ-018-03, REQ-018-04로 분리함 (추진 체계 표를 절차 단계별 행으로 분리)"
requirements/_review_current_requirements.csv,REQ-018-01,REQ-018,reclassified,present,visa_process_stages,,insert,pending_target_id,충청북도 지역특화형 비자 사업 숙련기능인력(E74R) 공고(2026년 8차)_section0,2,추진 체계,"대상 공통 테이블은 확정했으며, UUID 발급 후 target_record_id를 채움."
requirements/_review_current_requirements.csv,REQ-018-02,REQ-018,reclassified,present,visa_process_stages,,insert,pending_target_id,충청북도 지역특화형 비자 사업 숙련기능인력(E74R) 공고(2026년 8차)_section0,2,추진 체계,"대상 공통 테이블은 확정했으며, UUID 발급 후 target_record_id를 채움."
requirements/_review_current_requirements.csv,REQ-018-03,REQ-018,reclassified,present,visa_process_stages,,insert,pending_target_id,충청북도 지역특화형 비자 사업 숙련기능인력(E74R) 공고(2026년 8차)_section0,2,추진 체계,"대상 공통 테이블은 확정했으며, UUID 발급 후 target_record_id를 채움."
requirements/_review_current_requirements.csv,REQ-018-04,REQ-018,reclassified,present,visa_process_stages,,insert,pending_target_id,충청북도 지역특화형 비자 사업 숙련기능인력(E74R) 공고(2026년 8차)_section0,2,추진 체계,"대상 공통 테이블은 확정했으며, UUID 발급 후 target_record_id를 채움."
requirements/_review_current_requirements.csv,REQ-019,,excluded,present,none,,exclude,verified,충청북도 지역특화형 비자 사업 숙련기능인력(E74R) 공고(2026년 8차)_section0,2,자격 요건,"""3 |  | 자격 요건""는 source_section 그 자체에 해당하는 내용"
requirements/_review_current_requirements.csv,REQ-020,,approved,present,visa_requirement_criteria,,insert,pending_target_id,충청북도 지역특화형 비자 사업 숙련기능인력(E74R) 공고(2026년 8차)_section0,2,자격 요건 > 추천대상,"대상 공통 테이블은 확정했으며, UUID 발급 후 target_record_id를 채움."
requirements/_review_current_requirements.csv,REQ-021,,approved,present,visa_requirement_criteria,,insert,pending_target_id,충청북도 지역특화형 비자 사업 숙련기능인력(E74R) 공고(2026년 8차)_section0,2,자격 요건 > 추천대상,"대상 공통 테이블은 확정했으며, UUID 발급 후 target_record_id를 채움."
requirements/_review_current_requirements.csv,REQ-022,,approved,present,visa_requirement_criteria,,insert,pending_target_id,충청북도 지역특화형 비자 사업 숙련기능인력(E74R) 공고(2026년 8차)_section0,2,자격 요건 > 추천대상,"대상 공통 테이블은 확정했으며, UUID 발급 후 target_record_id를 채움."
requirements/_review_current_requirements.csv,REQ-023,,approved,present,visa_requirement_criteria,,insert,pending_target_id,충청북도 지역특화형 비자 사업 숙련기능인력(E74R) 공고(2026년 8차)_section0,2,자격 요건 > 추천대상 > 제외대상,"대상 공통 테이블은 확정했으며, UUID 발급 후 target_record_id를 채움."
requirements/_review_current_requirements.csv,REQ-024,,approved,present,visa_requirement_criteria,,insert,pending_target_id,충청북도 지역특화형 비자 사업 숙련기능인력(E74R) 공고(2026년 8차)_section0,2,자격 요건 > 추천대상 > 제외대상,"대상 공통 테이블은 확정했으며, UUID 발급 후 target_record_id를 채움."
requirements/_review_current_requirements.csv,REQ-025,,approved,present,visa_requirement_criteria,,insert,pending_target_id,충청북도 지역특화형 비자 사업 숙련기능인력(E74R) 공고(2026년 8차)_section0,2,자격 요건 > 추천대상 > 제외대상,"대상 공통 테이블은 확정했으며, UUID 발급 후 target_record_id를 채움."
requirements/_review_current_requirements.csv,REQ-026,,approved,present,visa_requirement_criteria,,insert,pending_target_id,충청북도 지역특화형 비자 사업 숙련기능인력(E74R) 공고(2026년 8차)_section0,2,자격 요건 > 추천대상 > 제외대상,"대상 공통 테이블은 확정했으며, UUID 발급 후 target_record_id를 채움."
requirements/_review_current_requirements.csv,REQ-027,,approved,present,visa_requirement_criteria,,insert,pending_target_id,충청북도 지역특화형 비자 사업 숙련기능인력(E74R) 공고(2026년 8차)_section0,2,자격 요건 > 추천대상 > 제외대상,"대상 공통 테이블은 확정했으며, UUID 발급 후 target_record_id를 채움."
requirements/_review_current_requirements.csv,REQ-028,,approved,present,visa_requirement_criteria,,insert,pending_target_id,충청북도 지역특화형 비자 사업 숙련기능인력(E74R) 공고(2026년 8차)_section0,2,자격 요건 > 추천대상 > 제외대상,"대상 공통 테이블은 확정했으며, UUID 발급 후 target_record_id를 채움."
